generation,0,mu,100,lambda,25
	2921.0,4836.0,1436.0,0.221266,0.163425,34.0,119.0,167.0,84.0,fitness,(0.008411390080000001,),fitnesses,(13.0, 0.0, 458.860992)
	2420.0,1056.0,3464.0,0.235322,0.084014,16.0,10.0,36.0,85.0,fitness,(0.04538823002,),fitnesses,(36.0, 1.0, 61.176998)
	1399.0,2908.0,3874.0,0.2033,0.132687,139.0,48.0,173.0,86.0,fitness,(0.14198560974,),fitnesses,(128.0, 2.0, 601.439026)
	3731.0,4744.0,484.0,0.139931,0.093279,151.0,54.0,78.0,87.0,fitness,(0.0130484201,),fitnesses,(16.0, 0.0, 295.15799)
	4145.0,1954.0,4537.0,0.02812,0.011219,6.0,135.0,79.0,88.0,fitness,(0.0547759198,),fitnesses,(50.0, 1.0, 522.40802)
	4013.0,855.0,212.0,0.078778,0.107921,154.0,137.0,7.0,89.0,fitness,(0.038900900270000004,),fitnesses,(35.0, 1.0, 609.909973)
	1405.0,4535.0,2929.0,0.082591,0.120882,66.0,75.0,108.0,90.0,fitness,(0.015117760010000002,),fitnesses,(17.0, 0.0, 188.223999)
	4457.0,3460.0,2338.0,0.240597,0.089276,154.0,34.0,166.0,91.0,fitness,(0.03045134995,),fitnesses,(23.0, 1.0, 254.865005)
	3832.0,3757.0,2261.0,0.191422,0.085317,113.0,1.0,140.0,92.0,fitness,(0.055221079709999996,),fitnesses,(41.0, 2.0, 577.892029)
	1701.0,2980.0,1990.0,0.211205,0.016071,76.0,137.0,49.0,93.0,fitness,(0.05037651001,),fitnesses,(55.0, 0.0, 462.348999)
	2740.0,3625.0,2918.0,0.10092,0.187107,173.0,164.0,92.0,94.0,fitness,(0.01073955017,),fitnesses,(16.0, 0.0, 526.044983)
	1877.0,2077.0,1025.0,0.242523,0.020537,130.0,92.0,168.0,95.0,fitness,(0.04997233002,),fitnesses,(54.0, 0.0, 402.76699800000006)
	2883.0,3019.0,2363.0,0.12329,0.115576,139.0,66.0,180.0,96.0,fitness,(0.01833265991,),fitnesses,(21.0, 0.0, 266.734009)
	3918.0,2910.0,1893.0,0.103267,0.231387,166.0,24.0,13.0,97.0,fitness,(-0.12400636719,),fitnesses,(48.0, 2.0, 19200.636719)
	1856.0,313.0,354.0,0.078554,0.109497,43.0,186.0,104.0,98.0,fitness,(0.048753280030000005,),fitnesses,(42.0, 1.0, 324.671997)
