Surrogate,generation,0,mu,100,lambda,25
	3119.0,2993.0,4998.0,0.054491,0.132881,3.0,114.0,16.0,33.0,fitness,(-0.008573317008117934),fitnesses,(-10.199754442593113,0.339299938513444,176.65619506592603,)
	3459.0,2415.0,300.0,0.234421,0.135274,129.0,171.0,129.0,34.0,fitness,(0.011866703498099509),fitnesses,(10.460333013139328,0.8915500851251548,750.9130366291367,)
	2862.0,3436.0,2929.0,0.024852,0.167742,66.0,74.0,47.0,35.0,fitness,(0.028101407231127747),fitnesses,(26.27552411461135,0.027098724697881896,-155.48958695375762,)
	3778.0,4549.0,4135.0,0.093184,0.127181,84.0,163.0,4.0,36.0,fitness,(0.01260672696317492),fitnesses,(18.840592896895256,-0.13565219638381848,487.73439698821494,)
	4730.0,3863.0,1719.0,6.7e-05,0.179526,93.0,33.0,81.0,37.0,fitness,(0.03198648236433951),fitnesses,(23.598477699780023,0.9908569882963328,152.0565218403846,)
	2697.0,1046.0,2906.0,0.207725,0.118005,59.0,43.0,141.0,38.0,fitness,(0.033925256634468666),fitnesses,(26.82227540364844,0.9681385048393483,257.8403817573259,)
	181.0,3181.0,2383.0,0.058839,0.011134,183.0,95.0,89.0,39.0,fitness,(0.45853863595360567),fitnesses,(443.46051250556934,2.6734759015422087,1165.6635567385747,)
	2340.0,4713.0,133.0,0.18012,0.112203,39.0,181.0,131.0,40.0,fitness,(-0.013023224449366159),fitnesses,(-7.545215968668248,-0.10280335368540887,444.9974943843822,)
	4979.0,4149.0,4703.0,0.155796,0.058504,79.0,162.0,54.0,41.0,fitness,(0.017630901733709008),fitnesses,(18.621611647087892,1.0059468505547375,1105.0178418926262,)
	4219.0,4991.0,4358.0,0.169072,0.093186,21.0,18.0,18.0,42.0,fitness,(0.04479253231744651),fitnesses,(71.62888645663413,-0.07195974642634397,2611.6756674924186,)
	4913.0,2493.0,862.0,0.110943,0.12705,57.0,169.0,0.0,43.0,fitness,(0.02641568598689298),fitnesses,(26.32751630804873,0.9532014472398445,944.38447935542,)
	416.0,2993.0,2303.0,0.120716,0.220658,88.0,77.0,157.0,44.0,fitness,(0.03181765251690509),fitnesses,(33.36516575667594,0.11831019494591037,273.06151892299533,)
	1231.0,3615.0,3311.0,0.04545,0.013122,172.0,46.0,51.0,45.0,fitness,(0.3569574217761054),fitnesses,(373.44655015344017,1.9377421047102632,3586.6549424437403,)
