Surrogate,generation,0,mu,100,lambda,25
	3188.0,2721.0,4357.0,0.215807,0.021672,182.0,113.0,189.0,34.0,fitness,(0.0364430974377326),fitnesses,(41.931292309612886,0.29327759487899785,842.097082067026,)
	1263.0,3651.0,3445.0,0.043392,0.024449,163.0,170.0,19.0,35.0,fitness,(0.14221542541365165),fitnesses,(158.62236166674927,0.11233070777996214,1753.0243330897247,)
	4431.0,748.0,2516.0,0.115275,0.089601,65.0,82.0,111.0,36.0,fitness,(0.040967132175276935),fitnesses,(36.224746665359284,0.9988976349847462,524.6590839929812,)
	307.0,2028.0,888.0,0.152404,0.176545,71.0,73.0,4.0,37.0,fitness,(0.07990244822728085),fitnesses,(78.55092455343848,0.9814314699990693,846.2791026148327,)
	3419.0,4504.0,3538.0,0.229347,0.047665,33.0,16.0,85.0,38.0,fitness,(0.06718849406834831),fitnesses,(58.944292811445635,1.4623725038376052,637.9523781473374,)
	87.0,3111.0,3069.0,0.168107,0.171677,122.0,67.0,21.0,39.0,fitness,(0.07131088774192243),fitnesses,(72.71168636948913,1.1911516499007835,1331.2315126574535,)
	3891.0,2582.0,3403.0,0.030449,0.1825,138.0,13.0,177.0,40.0,fitness,(0.03575012870346003),fitnesses,(27.06484537094891,1.5682571977653637,699.7288645142512,)
	3209.0,955.0,1232.0,0.054883,0.004832,70.0,140.0,134.0,41.0,fitness,(0.13309166465024336),fitnesses,(126.51613111903929,1.1294556349095277,471.90228178912116,)
	2662.0,400.0,3741.0,0.145998,0.236251,67.0,94.0,78.0,42.0,fitness,(0.024739467933081224),fitnesses,(23.096413179624214,0.7833512852207646,619.0458098750637,)
	4001.0,4046.0,3395.0,0.220654,0.140851,45.0,30.0,164.0,43.0,fitness,(0.022213473565326002),fitnesses,(18.692419246660556,0.5604211667070716,208.31573484052683,)
	3180.0,4026.0,2648.0,0.102326,0.176025,40.0,178.0,154.0,44.0,fitness,(0.013655089979979667),fitnesses,(12.145822493071124,0.26684813070555957,115.92138201470515,)
	720.0,1008.0,3189.0,0.046931,0.214707,58.0,3.0,70.0,45.0,fitness,(0.060960271508082156),fitnesses,(54.245625074664154,1.912117021859584,1240.6523785177837,)
	3808.0,4809.0,2081.0,0.000685,0.221519,82.0,58.0,188.0,46.0,fitness,(0.006975185542667431),fitnesses,(5.527286772696112,0.3508816546534064,206.09177765627462,)
	1618.0,3569.0,4388.0,0.044145,0.098654,18.0,129.0,188.0,47.0,fitness,(0.02196777688788018),fitnesses,(25.156398608205187,-0.0005216724049825791,318.34049962751794,)
	4202.0,4899.0,3576.0,0.039978,0.0137,3.0,112.0,166.0,48.0,fitness,(0.02759191346025444),fitnesses,(30.16323697386769,0.118130594702533,375.26294606385767,)
	136.0,2778.0,1806.0,0.017221,0.072381,129.0,70.0,12.0,49.0,fitness,(0.13679446291397834),fitnesses,(142.99633464435215,1.2428051712951624,1862.9923443325424,)
	718.0,1686.0,2728.0,0.123341,0.113369,144.0,11.0,112.0,50.0,fitness,(0.13855356979067612),fitnesses,(124.64462348316363,2.729257899579872,1338.3632688286243,)
	4734.0,766.0,2546.0,0.135099,0.001249,121.0,107.0,35.0,51.0,fitness,(0.19239021481739021),fitnesses,(189.11507012585727,1.6196508020305505,1292.1363328772552,)
	2514.0,994.0,42.0,0.032948,0.229239,42.0,68.0,87.0,52.0,fitness,(0.03359247535087133),fitnesses,(29.208662247684245,0.7515608987581338,313.17958843942534,)
	4366.0,3637.0,3112.0,0.099722,0.173944,43.0,83.0,77.0,53.0,fitness,(0.019800902230775814),fitnesses,(16.001999403810583,0.6592961507515028,279.4058680549795,)
	3748.0,2376.0,370.0,0.143151,0.012496,183.0,176.0,121.0,54.0,fitness,(0.05564056739137169),fitnesses,(54.23554534536139,0.7145672398460258,574.0650352449957,)
